,run,tag,step,value
54492,Hopper/Baseline-15skills-seed0,Cumulative runtime,1,0.031206131
54493,Hopper/Baseline-15skills-seed0,Cumulative runtime,2,0.045037031
54494,Hopper/Baseline-15skills-seed0,Cumulative runtime,3,0.062398195
54495,Hopper/Baseline-15skills-seed0,Cumulative runtime,4,0.077197075
54496,Hopper/Baseline-15skills-seed0,Cumulative runtime,5,0.095056295
54497,Hopper/Baseline-15skills-seed0,Cumulative runtime,6,0.120519161
54498,Hopper/Baseline-15skills-seed0,Cumulative runtime,7,0.141104221
54499,Hopper/Baseline-15skills-seed0,Cumulative runtime,8,0.166887283
54500,Hopper/Baseline-15skills-seed0,Cumulative runtime,9,0.182766199
54501,Hopper/Baseline-15skills-seed0,Cumulative runtime,10,0.20518136
54502,Hopper/Baseline-15skills-seed0,Cumulative runtime,11,0.219702005
54503,Hopper/Baseline-15skills-seed0,Cumulative runtime,12,0.235566139
54504,Hopper/Baseline-15skills-seed0,Cumulative runtime,13,0.248198271
54505,Hopper/Baseline-15skills-seed0,Cumulative runtime,14,0.264922142
54506,Hopper/Baseline-15skills-seed0,Cumulative runtime,15,0.279946327
54507,Hopper/Baseline-15skills-seed0,Cumulative runtime,16,0.296660423
54508,Hopper/Baseline-15skills-seed0,Cumulative runtime,17,0.309263229
54509,Hopper/Baseline-15skills-seed0,Cumulative runtime,18,0.32817626
54510,Hopper/Baseline-15skills-seed0,Cumulative runtime,19,0.339757204
54511,Hopper/Baseline-15skills-seed0,Cumulative runtime,20,0.352137327
54512,Hopper/Baseline-15skills-seed0,Cumulative runtime,21,0.363374233
54513,Hopper/Baseline-15skills-seed0,Cumulative runtime,22,0.380135298
54514,Hopper/Baseline-15skills-seed0,Cumulative runtime,23,0.390939236
54515,Hopper/Baseline-15skills-seed0,Cumulative runtime,24,0.417005062
54516,Hopper/Baseline-15skills-seed0,Cumulative runtime,25,0.436212301
54517,Hopper/Baseline-15skills-seed0,Cumulative runtime,26,0.852094412
54518,Hopper/Baseline-15skills-seed0,Cumulative runtime,27,1.429785252
54519,Hopper/Baseline-15skills-seed0,Cumulative runtime,28,1.824767351
54520,Hopper/Baseline-15skills-seed0,Cumulative runtime,29,2.208203077
54521,Hopper/Baseline-15skills-seed0,Cumulative runtime,30,2.479606152
54522,Hopper/Baseline-15skills-seed0,Cumulative runtime,31,2.719869375
54523,Hopper/Baseline-15skills-seed0,Cumulative runtime,32,2.881822348
54524,Hopper/Baseline-15skills-seed0,Cumulative runtime,33,3.137199163
54525,Hopper/Baseline-15skills-seed0,Cumulative runtime,34,3.36813426
54526,Hopper/Baseline-15skills-seed0,Cumulative runtime,35,3.506996393
54527,Hopper/Baseline-15skills-seed0,Cumulative runtime,36,3.773737192
54528,Hopper/Baseline-15skills-seed0,Cumulative runtime,37,3.91568923
54529,Hopper/Baseline-15skills-seed0,Cumulative runtime,38,4.152842522
54530,Hopper/Baseline-15skills-seed0,Cumulative runtime,39,4.332525253
54531,Hopper/Baseline-15skills-seed0,Cumulative runtime,40,4.564173222
54532,Hopper/Baseline-15skills-seed0,Cumulative runtime,41,5.125873566
54533,Hopper/Baseline-15skills-seed0,Cumulative runtime,42,5.400455475
54534,Hopper/Baseline-15skills-seed0,Cumulative runtime,43,5.672985077
54535,Hopper/Baseline-15skills-seed0,Cumulative runtime,44,5.819170952
54536,Hopper/Baseline-15skills-seed0,Cumulative runtime,45,6.085086346
54537,Hopper/Baseline-15skills-seed0,Cumulative runtime,46,6.309461594
54538,Hopper/Baseline-15skills-seed0,Cumulative runtime,47,6.485002518
54539,Hopper/Baseline-15skills-seed0,Cumulative runtime,48,6.994001389
54540,Hopper/Baseline-15skills-seed0,Cumulative runtime,49,7.36369133
54541,Hopper/Baseline-15skills-seed0,Cumulative runtime,50,7.583205223
54542,Hopper/Baseline-15skills-seed0,Cumulative runtime,51,8.102925301
54543,Hopper/Baseline-15skills-seed0,Cumulative runtime,52,8.711359024
54544,Hopper/Baseline-15skills-seed0,Cumulative runtime,53,9.299806595
54545,Hopper/Baseline-15skills-seed0,Cumulative runtime,54,9.740675926
54546,Hopper/Baseline-15skills-seed0,Cumulative runtime,55,10.1515131
54547,Hopper/Baseline-15skills-seed0,Cumulative runtime,56,10.38270569
54548,Hopper/Baseline-15skills-seed0,Cumulative runtime,57,10.63946342
54549,Hopper/Baseline-15skills-seed0,Cumulative runtime,58,11.07863522
54550,Hopper/Baseline-15skills-seed0,Cumulative runtime,59,11.35139465
54551,Hopper/Baseline-15skills-seed0,Cumulative runtime,60,11.78694725
54552,Hopper/Baseline-15skills-seed0,Cumulative runtime,61,12.16789055
54553,Hopper/Baseline-15skills-seed0,Cumulative runtime,62,12.76161766
54554,Hopper/Baseline-15skills-seed0,Cumulative runtime,63,13.39591122
54555,Hopper/Baseline-15skills-seed0,Cumulative runtime,64,14.32425117
54556,Hopper/Baseline-15skills-seed0,Cumulative runtime,65,15.46723175
54557,Hopper/Baseline-15skills-seed0,Cumulative runtime,66,16.16883278
54558,Hopper/Baseline-15skills-seed0,Cumulative runtime,67,16.742239
54559,Hopper/Baseline-15skills-seed0,Cumulative runtime,68,17.30226135
54560,Hopper/Baseline-15skills-seed0,Cumulative runtime,69,17.80444336
