,run,tag,step,value
97692,Hopper/Naive-1k-seed0,Cumulative runtime,1,3.155674219
97693,Hopper/Naive-1k-seed0,Cumulative runtime,2,3.170253038
97694,Hopper/Naive-1k-seed0,Cumulative runtime,3,3.183252335
97695,Hopper/Naive-1k-seed0,Cumulative runtime,4,3.194177151
97696,Hopper/Naive-1k-seed0,Cumulative runtime,5,3.204457998
97697,Hopper/Naive-1k-seed0,Cumulative runtime,6,3.224318266
97698,Hopper/Naive-1k-seed0,Cumulative runtime,7,3.232918024
97699,Hopper/Naive-1k-seed0,Cumulative runtime,8,3.243427038
97700,Hopper/Naive-1k-seed0,Cumulative runtime,9,3.25655508
97701,Hopper/Naive-1k-seed0,Cumulative runtime,10,3.266260147
97702,Hopper/Naive-1k-seed0,Cumulative runtime,11,3.279869318
97703,Hopper/Naive-1k-seed0,Cumulative runtime,12,3.297418118
97704,Hopper/Naive-1k-seed0,Cumulative runtime,13,3.309947252
97705,Hopper/Naive-1k-seed0,Cumulative runtime,14,3.320777178
97706,Hopper/Naive-1k-seed0,Cumulative runtime,15,3.330151081
97707,Hopper/Naive-1k-seed0,Cumulative runtime,16,3.338798046
97708,Hopper/Naive-1k-seed0,Cumulative runtime,17,3.348292112
97709,Hopper/Naive-1k-seed0,Cumulative runtime,18,3.366433144
97710,Hopper/Naive-1k-seed0,Cumulative runtime,19,3.378416061
97711,Hopper/Naive-1k-seed0,Cumulative runtime,20,3.389006138
97712,Hopper/Naive-1k-seed0,Cumulative runtime,21,3.39786005
97713,Hopper/Naive-1k-seed0,Cumulative runtime,22,3.409800291
97714,Hopper/Naive-1k-seed0,Cumulative runtime,23,3.867012024
97715,Hopper/Naive-1k-seed0,Cumulative runtime,24,4.324213982
97716,Hopper/Naive-1k-seed0,Cumulative runtime,25,4.564543247
97717,Hopper/Naive-1k-seed0,Cumulative runtime,26,4.901702881
97718,Hopper/Naive-1k-seed0,Cumulative runtime,27,5.163659096
97719,Hopper/Naive-1k-seed0,Cumulative runtime,28,5.426038742
97720,Hopper/Naive-1k-seed0,Cumulative runtime,29,5.641793251
97721,Hopper/Naive-1k-seed0,Cumulative runtime,30,5.861743927
97722,Hopper/Naive-1k-seed0,Cumulative runtime,31,6.069992065
97723,Hopper/Naive-1k-seed0,Cumulative runtime,32,6.285001755
97724,Hopper/Naive-1k-seed0,Cumulative runtime,33,6.494218826
97725,Hopper/Naive-1k-seed0,Cumulative runtime,34,6.702418327
97726,Hopper/Naive-1k-seed0,Cumulative runtime,35,6.911520958
97727,Hopper/Naive-1k-seed0,Cumulative runtime,36,7.158863068
97728,Hopper/Naive-1k-seed0,Cumulative runtime,37,7.371256828
97729,Hopper/Naive-1k-seed0,Cumulative runtime,38,7.637159348
97730,Hopper/Naive-1k-seed0,Cumulative runtime,39,8.018539429
97731,Hopper/Naive-1k-seed0,Cumulative runtime,40,8.241407394
97732,Hopper/Naive-1k-seed0,Cumulative runtime,41,8.477645874
97733,Hopper/Naive-1k-seed0,Cumulative runtime,42,8.758390427
97734,Hopper/Naive-1k-seed0,Cumulative runtime,43,9.026743889
97735,Hopper/Naive-1k-seed0,Cumulative runtime,44,9.237714767
97736,Hopper/Naive-1k-seed0,Cumulative runtime,45,9.478838921
97737,Hopper/Naive-1k-seed0,Cumulative runtime,46,9.771653175
97738,Hopper/Naive-1k-seed0,Cumulative runtime,47,9.980088234
97739,Hopper/Naive-1k-seed0,Cumulative runtime,48,10.17370987
97740,Hopper/Naive-1k-seed0,Cumulative runtime,49,10.39637184
97741,Hopper/Naive-1k-seed0,Cumulative runtime,50,10.65993023
97742,Hopper/Naive-1k-seed0,Cumulative runtime,51,10.90424252
97743,Hopper/Naive-1k-seed0,Cumulative runtime,52,11.13985825
97744,Hopper/Naive-1k-seed0,Cumulative runtime,53,11.37982559
97745,Hopper/Naive-1k-seed0,Cumulative runtime,54,11.57258224
97746,Hopper/Naive-1k-seed0,Cumulative runtime,55,11.78142643
97747,Hopper/Naive-1k-seed0,Cumulative runtime,56,12.014884
97748,Hopper/Naive-1k-seed0,Cumulative runtime,57,12.27524757
97749,Hopper/Naive-1k-seed0,Cumulative runtime,58,12.45922661
97750,Hopper/Naive-1k-seed0,Cumulative runtime,59,12.72387123
97751,Hopper/Naive-1k-seed0,Cumulative runtime,60,12.94630527
