step,base-maxreward,naive-maxreward,envinformed-maxreward,diverse1-maxreward,diverse2-maxreward,base-logq,naive-logq,envinformed-logq,diverse1-logq,diverse2-logq,base-numskills,naive-numskills,envinformed-numskills,diverse1-numskills,diverse2-numskills
1,9.415097243,10.79107095,9.090000787,9.090000787,4.215712467,0,0,0,0,0,15,2,2,2,2
2,12.92763553,12.27444907,10.07430236,10.07430236,6.59980949,0,0,0,0,0,15,2,2,2,2
3,12.92763553,12.27444907,10.07430236,10.07430236,37.17469758,0,0,0,0,0,15,2,2,2,2
4,12.92763553,12.27444907,10.07430236,10.07430236,37.55875605,0,0,0,0,0,15,2,2,2,2
5,12.92763553,12.27444907,10.07430236,10.07430236,37.55875605,0,0,0,0,0,15,2,2,2,2
6,12.92763553,13.51784423,11.1963285,11.1963285,37.55875605,0,0,0,0,0,15,2,2,2,2
7,12.92763553,13.51784423,11.50169566,11.50169566,38.95838168,0,0,0,0,-0.1136162,15,2,2,2,2
8,12.92763553,13.51784423,11.50169566,11.50169566,38.95838168,0,0,0,0,-0.1175925,15,2,2,2,2
9,12.92763553,13.51784423,11.50169566,11.50169566,38.95838168,0,0,0,0,-0.1177030667,15,2,2,2,2
10,15.05317467,13.51784423,11.50169566,11.50169566,38.95838168,0,0,0,0,-0.1173827,15,2,2,2,2
11,15.05317467,13.51784423,12.8278777,12.8278777,38.99431518,0,0,0,0,-0.1171197333,15,2,2,2,2
12,15.49009927,13.51784423,12.8278777,12.8278777,38.99431518,0,0,0,0,-0.1169331333,15,2,2,2,2
13,15.49009927,13.51784423,12.8278777,12.8278777,38.99431518,0,0,0,0,-0.1166801,15,2,2,2,2
14,16.2179435,13.51784423,12.8278777,12.8278777,38.99431518,-0.4835639667,0,0,0,-0.1165179,15,2,2,2,2
15,16.2179435,13.51784423,12.8278777,12.8278777,38.99431518,-0.4846322667,0,0,0,-0.1163986,15,2,2,2,2
16,16.2179435,13.51784423,12.8278777,12.8278777,42.26745754,-0.4850361333,0,0,0,-0.1164600333,15,2,2,2,2
17,16.2179435,13.51784423,12.8278777,12.8278777,42.26745754,-0.4857901333,0,0,0,-0.1165139667,15,2,2,2,2
18,16.2179435,13.51784423,12.8278777,12.8278777,42.26745754,-0.4857812333,-0.3625546667,-0.3655411,-0.3655411,-0.1164929667,15,2,2,2,2
19,16.2179435,14.7344847,16.38305507,16.38305507,42.26745754,-1.094538233,-0.3615912333,-0.3646114333,-0.3646114333,-0.1165466,15,2,2,2,2
20,16.2179435,14.7344847,16.38305507,16.38305507,42.26745754,-1.095732967,-0.3595077667,-0.3623266333,-0.3623266333,-0.1166383333,15,2,2,2,2
21,16.2179435,14.7344847,16.38305507,16.38305507,42.26745754,-1.0955895,-0.3573341,-0.3599653,-0.3599653,-0.1166775667,15,2,2,2,2
22,16.2179435,14.7344847,16.38305507,16.38305507,42.26745754,-1.094798733,-0.3552264333,-0.3576353333,-0.3576353333,-0.1166951667,15,2,2,2,2
23,16.2179435,14.8370301,16.38305507,16.38305507,42.26745754,-1.094008133,-0.7002273667,-1.255275067,-1.255275067,-0.1166788,15,2,2,2,2
24,27.26763377,14.8370301,16.38305507,16.38305507,42.26745754,-1.0919193,-1.394729133,-1.2487359,-1.2487359,-0.1166904667,15,2,2,2,2
25,28.58602333,14.8370301,20.62301447,20.62301447,42.26745754,-1.0891619,-1.386437033,-1.241315,-1.241315,-0.1166445,15,2,2,2,2
26,37.871322,18.646176,20.62301447,20.62301447,42.26745754,-2.1272361,-1.377576867,-1.233647933,-1.233647933,-0.1165556,15,2,2,2,2
27,37.871322,18.646176,20.62301447,20.62301447,42.26745754,-2.1218763,-1.368679833,-1.2260324,-1.2260324,-0.1164328667,15,2,2,2,2
28,37.871322,18.646176,20.62301447,20.62301447,42.26745754,-2.116062967,-1.3596692,-1.218383833,-1.218383833,-0.2723670667,15,2,2,2,2
29,37.871322,18.646176,21.58066687,21.58066687,45.87904028,-2.109694367,-1.3506092,-1.210752367,-1.210752367,-0.2734582,15,2,2,2,2
30,37.871322,34.7908217,21.58066687,21.58066687,45.87904028,-2.103183233,-1.3414321,-1.203060367,-1.203060367,-0.2734845,15,2,2,2,2
31,37.871322,34.7908217,21.58066687,21.58066687,45.87904028,-2.0969367,-1.332587233,-1.195387767,-1.195387933,-0.2733882667,15,2,2.333333333,2,2
32,37.871322,34.7908217,21.58066687,21.58066687,45.87904028,-2.090808967,-1.323668367,-1.1881263,-1.1876799,-0.3851537333,15,2,2.333333333,2.333333333,2
33,37.871322,34.7908217,32.91281447,32.91281447,51.80421943,-2.084984867,-1.314806867,-1.181334233,-1.180059233,-0.3866516,15,2,2.333333333,2.333333333,2
34,37.871322,34.7908217,32.91281447,32.91281447,61.59379437,-2.078988733,-1.305914767,-1.174021867,-1.172323667,-0.3870667333,15,2,2.333333333,2.333333333,2
35,37.871322,34.7908217,32.91281447,32.91281447,61.59379437,-2.072679233,-1.2970593,-1.1665519,-1.1646257,-0.3871698,15,2,2.333333333,2.333333333,2
36,37.871322,34.7908217,32.91281447,32.91281447,61.59379437,-2.0664343,-1.2881435,-1.159063533,-1.1568816,-0.3874634333,15,2,2.333333333,2.333333333,2
37,37.871322,34.7908217,32.91281447,32.91281447,61.59379437,-2.060468433,-1.279277067,-1.151726133,-1.149677467,-0.3875959333,15,2,2.333333333,2.666666667,2
38,37.871322,34.7908217,32.91281447,32.91281447,73.96691373,-2.0544914,-1.2703751,-1.144419167,-1.142749733,-0.3874586333,15,2,2.333333333,2.666666667,2
39,37.871322,34.7908217,32.91281447,32.91281447,73.96691373,-2.048111367,-1.261997833,-1.1372016,-1.1357996,-0.3872075333,15,3,2.666666667,2.666666667,2
40,37.871322,34.7908217,32.91281447,32.91281447,73.96691373,-2.0426234,-1.255518767,-1.130843233,-1.129880733,-0.3867836333,15,3,2.666666667,2.666666667,2
41,40.48722523,34.7908217,32.91281447,32.91281447,73.96691373,-2.0376062,-1.248929567,-1.1245658,-1.123689067,-0.3863085,15,3,2.666666667,2.666666667,2
42,40.48722523,36.8750343,32.91281447,32.91281447,73.96691373,-2.0320848,-1.2420178,-1.118210833,-1.1173518,-0.3857055667,15,3,2.666666667,2.666666667,2
