Step,Baseline,Naive,Reward
0,3.929154634,6.749178886,3.089226484
1,3.929154634,6.749178886,10.67615891
2,5.839018345,7.237043381,30.50631905
3,5.839018345,7.237043381,93.99111938
4,5.839018345,27.91902351,93.99111938
5,5.839018345,27.91902351,93.99111938
6,5.839018345,27.91902351,102.2376862
7,6.166106701,27.91902351,102.2376862
8,6.166106701,27.91902351,102.2376862
9,7.552426338,27.91902351,102.2376862
10,7.741559982,27.91902351,102.2376862
11,7.741559982,27.91902351,102.2376862
12,7.741559982,27.91902351,102.2376862
13,7.741559982,27.91902351,102.2376862
14,7.741559982,27.91902351,102.2376862
15,7.741559982,27.91902351,102.2376862
16,7.741559982,27.91902351,102.2376862
17,7.741559982,27.91902351,102.2376862
18,7.741559982,27.91902351,102.2376862
19,7.741559982,27.91902351,102.2376862
20,7.741559982,27.91902351,102.2376862
21,7.741559982,27.91902351,102.2376862
22,7.741559982,27.91902351,102.2376862
23,7.741559982,27.91902351,102.2376862
24,7.741559982,27.91902351,102.2376862
25,7.741559982,27.91902351,102.2376862
26,7.741559982,27.91902351,102.2376862
27,7.741559982,27.91902351,102.2376862
28,7.741559982,27.91902351,102.2376862
29,7.741559982,27.91902351,102.2376862
30,7.741559982,27.91902351,102.2376862
31,7.741559982,27.91902351,102.2376862
32,7.741559982,27.91902351,102.2376862
33,20.90849113,27.91902351,102.2376862
34,23.48294067,27.91902351,102.2376862
35,23.48294067,27.91902351,102.2376862
36,75.5524292,27.91902351,102.2376862
37,75.5524292,27.91902351,102.2376862
38,94.98771667,27.91902351,102.2376862
39,94.98771667,27.91902351,102.2376862
40,94.98771667,27.91902351,102.2376862
41,94.98771667,27.91902351,102.2376862
42,94.98771667,27.91902351,102.2376862
43,94.98771667,27.91902351,102.2376862
44,94.98771667,27.91902351,102.2376862
45,94.98771667,27.91902351,102.2376862
46,94.98771667,27.91902351,102.2376862
47,94.98771667,27.91902351,102.2376862
48,94.98771667,27.91902351,102.2376862
49,94.98771667,27.91902351,102.2376862
50,94.98771667,27.91902351,102.2376862
51,94.98771667,27.91902351,102.2376862
52,94.98771667,27.91902351,102.2376862
53,94.98771667,27.91902351,102.2376862
54,94.98771667,27.91902351,102.2376862
55,94.98771667,27.91902351,102.2376862
56,94.98771667,27.91902351,102.2376862
57,94.98771667,27.91902351,102.2376862
58,94.98771667,27.91902351,102.2376862
59,94.98771667,27.91902351,102.2376862
60,94.98771667,27.91902351,102.2376862
61,94.98771667,27.91902351,102.2376862
62,94.98771667,27.91902351,102.2376862
63,94.98771667,27.91902351,102.2376862
