Wall time,Step,Value
1650336372.8529012,1,2.0
1650336372.878764,2,2.0
1650336372.900529,3,2.0
1650336372.9276092,4,2.0
1650336372.982688,5,2.0
1650336373.102487,10,2.0
1650336373.127412,11,2.0
1650336373.1568818,12,2.0
1650336373.1744251,13,2.0
1650336373.200483,14,2.0
1650336373.530556,15,2.0
1650336373.939615,16,2.0
1650336373.0113761,6,2.0
1650336373.031965,7,2.0
1650336373.062434,8,2.0
1650336373.080641,9,2.0
1650336374.2093492,17,2.0
1650336374.598719,18,2.0
1650336375.001266,19,3.0
1650336375.494663,20,3.0
1650336376.0041752,21,3.0
1650336376.50596,22,3.0
1650336376.745714,23,3.0
1650336377.109983,24,3.0
1650336377.429775,25,3.0
1650336377.905389,26,3.0
1650336378.3437161,27,3.0
1650336378.598212,28,3.0
1650336378.83905,29,3.0
1650336379.364671,30,3.0
1650336379.7238588,31,3.0
1650336380.027819,32,3.0
1650336380.3555992,33,3.0
1650336380.760306,34,3.0
1650336381.1885738,35,3.0
1650336381.42715,36,3.0
1650336381.706712,37,3.0
1650336381.9331641,38,3.0
1650336382.457381,39,4.0
1650336382.660386,40,4.0
1650336382.858189,41,4.0
1650336383.095567,42,4.0
1650336383.533267,43,4.0
1650336384.00701,44,4.0
1650336384.597016,45,4.0
1650336385.081224,46,4.0
1650336385.53955,47,4.0
1650336385.992537,48,4.0
1650336386.325718,49,4.0
1650336386.85135,50,4.0
1650336387.106347,51,4.0
1650336387.717223,52,4.0
1650336388.3059251,53,4.0
1650336388.8057978,54,4.0
1650336389.362797,55,4.0
1650336389.923987,56,4.0
1650336390.503432,57,4.0
1650336391.095937,58,4.0
1650336391.435209,59,5.0
1650336391.951377,60,5.0
1650336392.5415301,61,5.0
1650336393.120915,62,5.0
1650336393.824481,63,5.0
1650336394.559021,64,5.0
1650336395.418232,65,5.0
1650336395.757071,66,5.0
1650336396.308552,67,5.0
1650336396.880783,68,5.0
1650336397.170284,69,5.0
1650336397.775678,70,5.0
1650336398.225114,71,5.0
1650336398.879745,72,5.0
1650336399.5049632,73,5.0
1650336400.156729,74,5.0
1650336400.7268322,75,5.0
1650336401.340585,76,5.0
1650336401.936864,77,5.0
1650336405.175252,78,5.0
1650336408.086559,79,6.0
1650336408.946659,80,6.0
1650336409.5503669,81,6.0
1650336410.421686,82,6.0
1650336411.393377,83,6.0
1650336412.2139578,84,6.0
1650336413.767444,85,6.0
1650336414.039884,86,6.0
1650336414.44896,87,6.0
1650336417.4786339,88,6.0
1650336418.081909,89,6.0
1650336418.833075,90,6.0
1650336420.717225,91,6.0
1650336422.0744262,92,6.0
1650336422.827623,93,6.0
1650336424.586114,94,6.0
1650336425.423828,95,6.0
1650336427.122119,96,6.0
1650336429.4605162,97,6.0
1650336430.0821068,98,6.0
1650336430.688697,99,7.0
1650336431.590386,100,7.0
1650336434.124479,101,7.0
1650336436.7397702,102,7.0
1650336437.682145,103,7.0
1650336440.08285,104,7.0
1650336441.032322,105,7.0
1650336443.369853,106,7.0
1650336444.405557,107,7.0
1650336444.766787,108,7.0
1650336445.774883,109,7.0
1650336446.332909,110,7.0
1650336447.254984,111,7.0
1650336448.230665,112,7.0
1650336448.733808,113,7.0
1650336449.619998,114,7.0
1650336450.538912,115,7.0
1650336451.097167,116,7.0
1650336453.6151848,117,7.0
1650336456.447403,118,7.0
1650336457.207346,119,8.0
1650336460.1089458,120,8.0
1650336461.0976708,121,8.0
1650336461.738881,122,8.0
1650336462.7291672,123,8.0
1650336465.175235,124,8.0
1650336468.599351,125,8.0
1650336472.2288792,126,8.0
1650336473.222301,127,8.0
1650336475.7489548,128,8.0
1650336478.307782,129,8.0
1650336478.780533,130,8.0
1650336480.124026,131,8.0
1650336482.149913,132,8.0
1650336484.3049102,133,8.0
1650336491.9522219,134,8.0
1650336499.219476,135,8.0
1650336500.030763,136,8.0
1650336503.093536,137,8.0
1650336511.340555,138,8.0
1650336513.595895,139,9.0
1650336515.938742,140,9.0
1650336516.6965172,141,9.0
1650336517.742346,142,9.0
1650336525.104148,143,9.0
1650336526.3578272,144,9.0
1650336528.2050939,145,9.0
1650336557.875652,146,9.0
1650336583.731715,147,9.0
1650336584.524021,148,9.0
1650336604.310246,149,9.0
1650336611.984332,150,9.0
1650336615.3089721,151,9.0
1650336627.799757,152,9.0
1650336629.8128152,153,9.0
1650336631.191926,154,9.0
1650336632.090857,155,9.0
1650336635.043819,156,9.0
1650336671.374294,157,9.0
1650336679.4017322,158,9.0
1650336709.975856,159,10.0
1650336713.081735,160,10.0
1650336716.181739,161,10.0
1650336721.649714,162,10.0
1650336732.780737,163,10.0
1650336736.269511,164,10.0
1650336740.250159,165,10.0
1650336753.708525,166,10.0
1650336756.2898052,167,10.0
1650336793.135566,168,10.0
1650336802.192866,169,10.0
1650336806.459361,170,10.0
1650336815.514747,171,10.0
1650336818.892373,172,10.0
1650336853.004121,173,10.0
1650336886.7904,174,10.0
1650336891.1002398,175,10.0
1650336925.654748,176,10.0
1650336928.9894311,177,10.0
1650336946.237961,178,10.0
1650336949.548183,179,11.0
1650336952.293807,180,11.0
1650336954.969557,181,11.0
1650336962.622725,182,11.0
1650336965.085403,183,11.0
1650336969.7357929,184,11.0
1650336979.270763,185,11.0
1650336983.9970932,186,11.0
1650336987.593599,187,11.0
1650337021.0264761,188,11.0
1650337040.201406,189,11.0
1650337074.644785,190,11.0
1650337079.377416,191,11.0
1650337115.292212,192,11.0
1650337118.840985,193,11.0
1650337151.582408,194,11.0
1650337155.160359,195,11.0
1650337159.729986,196,11.0
1650337164.04333,197,11.0
1650337170.091694,198,11.0
1650337179.1912901,199,12.0
1650337196.012331,200,12.0
1650337203.778813,201,12.0
1650337207.114958,202,12.0
1650337239.693631,203,12.0
1650337244.056138,204,12.0
1650337246.699973,205,12.0
1650337252.101155,206,12.0
1650337284.942751,207,12.0
1650337289.259501,208,12.0
1650337296.629652,209,12.0
1650337299.86228,210,12.0
1650337302.453303,211,12.0
1650337307.171145,212,12.0
1650337341.251615,213,12.0
1650337344.4289112,214,12.0
1650337349.347223,215,12.0
1650337351.3178601,216,12.0
1650337354.91374,217,12.0
1650337357.549584,218,12.0
1650337365.3516228,219,13.0
1650337367.77023,220,13.0
1650337374.3192902,221,13.0
1650337376.788764,222,13.0
1650337382.509671,223,13.0
1650337417.5263538,224,13.0
1650337423.166327,225,13.0
1650337456.740375,226,13.0
1650337461.3304791,227,13.0
1650337466.485072,228,13.0
1650337471.3852649,229,13.0
1650337475.785845,230,13.0
1650337480.939359,231,13.0
1650337504.0411708,232,13.0
1650337508.801389,233,13.0
1650337513.493859,234,13.0
1650337518.404379,235,13.0
1650337522.4735,236,13.0
1650337528.055444,237,13.0
1650337533.157027,238,13.0
1650337540.3201869,239,14.0
1650337545.2623842,240,14.0
1650337548.854204,241,14.0
1650337553.016022,242,14.0
1650337574.236902,243,14.0
1650337607.689273,244,14.0
1650337642.6136472,245,14.0
1650337647.8686311,246,14.0
1650337683.6142342,247,14.0
1650337687.9590359,248,14.0
1650337691.907316,249,14.0
1650337695.7689369,250,14.0
1650337697.273016,251,14.0
1650337701.631129,252,14.0
1650337707.907476,253,14.0
1650337711.740958,254,14.0
1650337716.1424682,255,14.0
1650337720.576971,256,14.0
1650337721.199394,257,14.0
1650337723.030287,258,14.0
1650337726.63853,259,15.0
1650337730.3376489,260,15.0
1650337733.371037,261,15.0
1650337769.483498,262,15.0
1650337774.1480901,263,15.0
1650337777.905975,264,15.0
1650337781.176491,265,15.0
1650337784.627146,266,15.0
1650337820.287622,267,15.0
1650337823.314063,268,15.0
1650337827.149911,269,15.0
1650337833.442122,270,15.0
1650337836.942513,271,15.0
1650337840.5358841,272,15.0
1650337841.174082,273,15.0
1650337843.91192,274,15.0
1650337849.134464,275,15.0
1650337853.243517,276,15.0
1650337857.1382048,277,15.0
1650337860.2410939,278,15.0
1650337863.181611,279,16.0
1650337863.76371,280,16.0
1650337867.6511219,281,16.0
1650337868.206434,282,16.0
1650337871.156802,283,16.0
1650337910.093518,284,16.0
1650337914.135756,285,16.0
1650337918.100522,286,16.0
1650337922.383002,287,16.0
1650337925.956057,288,16.0
1650337929.329849,289,16.0
1650337950.004456,290,16.0
1650337954.663133,291,16.0
1650337958.0439098,292,16.0
1650337960.279076,293,16.0
1650337964.6480372,294,16.0
1650337968.541405,295,16.0
1650337994.333227,296,16.0
1650337997.9985201,297,16.0
1650338001.950218,298,16.0
1650338006.5471811,299,17.0
1650338011.3825002,300,17.0
