Wall time,Step,k=1,k=2,k=5
1650336373,0,0,0,0
1650336373,1,0,0,0
1650336373,2,0,0,0
1650336373,3,0,0,0
1650336373,4,0,0,0
1650336373,5,0,0,0
1650336373,6,0,0,0
1650336373,7,0,-0.446153879,-0.4461539
1650336373,8,0,-0.450283766,-0.4502838
1650336373,9,0,-0.449578851,-0.4495789
1650336373,10,0,-0.447755635,-0.4477556
1650336373,11,0,-0.446105212,-0.4461052
1650336373,12,0,-0.445308834,-0.4453088
1650336373,13,0,-0.444099814,-0.4440998
1650336374,14,-1.612734079,-0.442799389,-0.4427994
1650336374,15,-1.604783893,-0.441267341,-0.4412673
1650336374,16,-1.594807863,-0.439628094,-0.4396281
1650336375,17,-1.584480286,-0.437820733,-0.4378207
1650336375,18,-1.573901534,-0.437317103,-0.4383227
1650336375,19,-1.562968612,-0.437930346,-0.438205
1650336376,20,-1.55175221,-0.437978566,-0.438627
1650336377,21,-1.543213248,-0.439247102,-0.4404378
1650336377,22,-1.535502553,-0.440234572,-0.4418263
1650336377,23,-1.526232123,-0.441139668,-0.4439767
1650336377,24,-1.517682195,-0.442168504,-0.4459799
1650336378,25,-1.508575559,-0.44278115,-0.4487924
1650336378,26,-1.498782635,-0.442965478,-0.4525337
1650336379,27,-1.488680243,-0.442930639,-0.4549762
1650336379,28,-1.478577495,-0.442696273,-0.4573443
1650336379,29,-1.468404055,-0.442223221,-0.4596401
1650336380,30,-1.458199382,-0.441741705,-0.4620993
1650336380,31,-1.447969913,-0.441162765,-0.4645835
1650336380,32,-1.43777144,-0.440262586,-0.467083
1650336381,33,-1.427573681,-0.439278245,-0.4699955
1650336381,34,-1.41742146,-0.438024849,-0.4728296
1650336381,35,-1.407180309,-0.436607033,-0.4752064
1650336382,36,-1.396848321,-0.434961528,-0.4778647
1650336382,37,-1.386899233,-0.433601886,-0.4810789
1650336382,38,-1.380036354,-0.432852983,-0.4849519
1650336383,39,-1.371969342,-0.432315618,-0.4886973
1650336383,40,-1.363569856,-0.431625485,-0.4935378
1650336383,41,-1.355061054,-0.430995017,-0.4974076
1650336384,42,-1.346361756,-0.430082709,-0.5012416
1650336384,43,-1.33727932,-0.429215223,-0.5049109
1650336385,44,-1.328739047,-0.429450601,-0.5087856
1650336385,45,-1.320318699,-0.429382712,-0.5129589
1650336386,46,-1.311878443,-0.429167449,-0.5168449
1650336386,47,-1.303795934,-0.429010451,-0.5212588
1650336386,48,-1.29609251,-0.429126054,-0.5257289
