Wall time,Step,k=1,k=2,k=2 w/ decay
1650339026,0,0,0,0
1650339026,1,0,0,0
1650339026,2,0,0,0
1650339026,3,0,0,0
1650339026,4,0,0,0
1650339026,5,0,0,0
1650339027,6,-0.34934479,0,0
1650339027,7,-0.350605577,-0.446153879,-0.4461539
1650339027,8,-0.35016799,-0.450283766,-0.4502838
1650339028,9,-0.349574208,-0.449578851,-0.4495789
1650339028,10,-0.348929167,-0.447755635,-0.4477556
1650339029,11,-0.34886235,-0.446105212,-0.4461052
1650339029,12,-0.349006295,-0.445308834,-0.4453088
1650339029,13,-0.348588973,-0.444099814,-0.4440998
1650339030,14,-0.347724706,-0.442799389,-0.4427994
1650339030,15,-0.346862078,-0.441267341,-0.4412673
1650339030,16,-0.346414208,-0.439628094,-0.4396281
1650339031,17,-0.345677555,-0.437820733,-0.4378207
1650339032,18,-0.345055372,-0.435950547,-0.4359505
1650339032,19,-0.344851196,-0.433857411,-0.4338574
1650339033,20,-0.344566345,-0.431476682,-0.4314767
1650339033,21,-0.344395161,-0.429023743,-0.4290237
1650339034,22,-0.344156533,-0.426407605,-0.4264076
1650339035,23,-0.344273448,-0.423781753,-0.4237818
1650339037,24,-0.344482839,-0.42220667,-0.4222067
1650339037,25,-0.344504029,-0.4208197,-0.4208197
1650339038,26,-0.344521344,-0.418399125,-0.4183991
1650339038,27,-0.344531059,-0.415921777,-0.4159218
1650339039,28,-0.34454459,-0.413437188,-0.4134372
1650339040,29,-0.344650954,-0.411295444,-0.4112954
1650339040,30,-0.344657809,-0.409627408,-0.4096274
1650339042,31,-0.344524056,-0.407620698,-0.4076207
1650339043,32,-0.344151527,-0.405373454,-0.4053735
1650339043,33,-0.34357217,-0.402964056,-0.4029641
1650339045,34,-0.343027979,-0.400560737,-0.4005607
1650339046,35,-0.342395723,-0.398095936,-0.3980959
1650339047,36,-0.341644555,-0.395627707,-0.3956277
1650339049,37,-0.342263013,-0.394462645,-0.3944626
1650339049,38,-0.34264043,-0.393543392,-0.3935434
1650339050,39,-0.342896163,-0.393260896,-0.3932609
1650339051,40,-0.342821062,-0.393618703,-0.3936187
1650339052,41,-0.342595607,-0.394246399,-0.3942464
1650339052,42,-0.342259288,-0.394283861,-0.3942839
1650339052,43,-0.342015326,-0.393818974,-0.393819
1650339053,44,-0.342138499,-0.394119173,-0.3934548
1650339053,45,-0.342464983,-0.394538671,-0.393178
1650339055,46,-0.342762977,-0.394620389,-0.3925692
1650339055,47,-0.343889475,-0.395550281,-0.392446
1650339056,48,-0.344963938,-0.396982849,-0.3922872
1650339057,49,-0.345533699,-0.398165673,-0.3926059
1650339057,50,-0.346054167,-0.399503618,-0.3929138
1650339058,51,-0.346726894,-0.4016909,-0.394266
1650339058,52,-0.347729981,-0.403636634,-0.3953516
1650339059,53,-0.348569661,-0.405776381,-0.3962375
1650339060,54,-0.349161416,-0.407844454,-0.3970984
1650339061,55,-0.349663317,-0.40959841,-0.3975904
1650339063,56,-0.349904358,-0.411552489,-0.3979313
1650339063,57,-0.350105971,-0.413309902,-0.398566
1650339064,58,-0.350274742,-0.415280491,-0.39957
1650339064,59,-0.350323111,-0.417240798,-0.4008579
1650339064,60,-0.350511461,-0.419403166,-0.4018413
1650339065,61,-0.350734591,-0.421706349,-0.4027078
1650339065,62,-0.350857168,-0.423878372,-0.4036881
1650339066,63,-0.350940078,-0.42571646,-0.4047163
1650339066,64,-0.351076931,-0.427718878,-0.4061334
1650339067,65,-0.351279229,-0.429583073,-0.4075357
1650339067,66,-0.351609737,-0.431446344,-0.4093492
1650339069,67,-0.351875454,-0.432825923,-0.4103537
1650339070,68,-0.351708949,-0.433786541,-0.410863
1650339071,69,-0.351740181,-0.434663832,-0.4111771
1650339071,70,-0.351810545,-0.435338408,-0.4117949
1650339073,71,-0.352975339,-0.436220586,-0.4127716
1650339074,72,-0.354078293,-0.437127978,-0.4135013
1650339074,73,-0.355167001,-0.437995523,-0.4143498
1650339075,74,-0.356136262,-0.438598126,-0.4150513
1650339075,75,-0.357326031,-0.439292133,-0.4156271
1650339076,76,-0.358246833,-0.439937294,-0.4159944
1650339077,77,-0.359164089,-0.440504879,-0.4163538
1650339077,78,-0.359876841,-0.440989703,-0.4166645
1650339077,79,-0.360684067,-0.441541612,-0.4168578
1650339080,80,-0.361195952,-0.441904336,-0.4169994
1650339081,81,-0.361574858,-0.442148983,-0.4171203
1650339081,82,-0.362054855,-0.442382514,-0.4170426
1650339083,83,-0.362247646,-0.442566484,-0.416795
1650339084,84,-0.362710446,-0.443190426,-0.4167871
1650339085,85,-0.363535941,-0.443581134,-0.4170823
1650339086,86,-0.3640984,-0.443920195,-0.4173206
1650339088,87,-0.364595115,-0.444764644,-0.417566
1650339090,88,-0.364986241,-0.44563511,-0.4175985
1650339092,89,-0.36509499,-0.446553349,-0.4175279
1650339092,90,-0.365185738,-0.447265923,-0.4175838
1650339093,91,-0.365415961,-0.448527992,-0.4175322
1650339095,92,-0.365588367,-0.449387819,-0.4176728
1650339096,93,-0.365423769,-0.450731933,-0.4175676
1650339096,94,-0.365501165,-0.451747149,-0.4174889
1650339097,95,-0.365606248,-0.452825367,-0.4174505
1650339099,96,-0.366076559,-0.453745306,-0.4173783
1650339100,97,-0.366349161,-0.454425275,-0.4174627
1650339103,98,-0.366354853,-0.454800367,-0.4172097
1650339105,99,-0.366155982,-0.454893321,-0.416846
1650339106,100,-0.365943372,-0.45521161,-0.4165951
1650339107,101,-0.365674615,-0.455324292,-0.4162667
1650339108,102,-0.365469605,-0.455629408,-0.415893
1650339109,103,-0.365216196,-0.455718011,-0.4156805
1650339112,104,-0.364771545,-0.455651879,-0.4150775
1650339113,105,-0.364201337,-0.455600321,-0.4144877
1650339114,106,-0.364025652,-0.455685645,-0.4140097
1650339115,107,-0.364030629,-0.455910563,-0.4135538
1650339117,108,-0.364310324,-0.456121027,-0.412955
1650339118,109,-0.364464581,-0.456427127,-0.4121747
1650339121,110,-0.364459127,-0.456933796,-0.41149
1650339121,111,-0.364341825,-0.457110375,-0.4109455
1650339124,112,-0.364053249,-0.457182288,-0.4101629
1650339125,113,-0.363740891,-0.457459986,-0.4093382
1650339126,114,-0.363447487,-0.457492709,-0.4084531
1650339127,115,-0.36306563,-0.457355171,-0.4077064
1650339128,116,-0.362582982,-0.457347155,-0.4068563
1650339129,117,-0.362231702,-0.457261533,-0.4060256
1650339130,118,-0.361839861,-0.457187355,-0.4051948
1650339132,119,-0.362026572,-0.457174778,-0.4047253
1650339136,120,-0.362628162,-0.457600713,-0.4041838
1650339138,121,-0.362890661,-0.45763135,-0.4035872
1650339141,122,-0.362948895,-0.458023697,-0.4036669
1650339142,123,-0.362893403,-0.458206475,-0.4037358
1650339143,124,-0.363414347,-0.458575279,-0.4034962
1650339145,125,-0.363823086,-0.459067434,-0.4032046
1650339147,126,-0.364036888,-0.459267229,-0.4030471
1650339148,127,-0.364168733,-0.459517837,-0.4026755
1650339152,128,-0.36420691,-0.460161716,-0.4026159
1650339152,129,-0.364292115,-0.460635692,-0.4024267
1650339156,130,-0.364378631,-0.461102337,-0.4021467
1650339159,131,-0.364367038,-0.461627245,-0.4018445
1650339160,132,-0.364462227,-0.461977541,-0.4018022
1650339164,133,-0.365201443,-0.462765932,-0.4015824
1650339168,134,-0.365721583,-0.463602632,-0.4016791
1650339170,135,-0.366187483,-0.464225203,-0.4017029
1650339170,136,-0.36651516,-0.464708865,-0.401593
1650339173,137,-0.366720974,-0.46505037,-0.4013607
1650339174,138,-0.366857678,-0.465442091,-0.4010084
1650339175,139,-0.366769612,-0.465784222,-0.4005632
1650339181,140,-0.36681664,-0.46621266,-0.4001566
1650339182,141,-0.366917282,-0.466543704,-0.3998522
1650339184,142,-0.367051274,-0.466838211,-0.3999841
1650339185,143,-0.367214739,-0.467541635,-0.4004567
1650339186,144,-0.367386013,-0.467856199,-0.4006409
1650339189,145,-0.36749959,-0.468134105,-0.4008018
1650339192,146,-0.367754072,-0.468332857,-0.4009642
1650339196,147,-0.368060976,-0.468634903,-0.4009636
1650339203,148,-0.368437499,-0.469007879,-0.4006512
1650339233,149,-0.368139982,-0.46985364,-0.4006111
1650339237,150,-0.367299885,-0.470891923,-0.4004337
1650339269,151,-0.366090029,-0.471632183,-0.3999885
1650339270,152,-0.364759594,-0.472238004,-0.3994319
1650339271,153,-0.363336265,-0.472783774,-0.3987426
1650339301,154,-0.361829221,-0.473831803,-0.398278
1650339303,155,-0.360157311,-0.474456191,-0.3977546
1650339313,156,-0.358547091,-0.474702239,-0.3971652
1650339329,157,-0.357465833,-0.474981725,-0.3965086
1650339334,158,-0.356464088,-0.475383043,-0.3959937
1650339335,159,-0.355333447,-0.475754768,-0.3953027
1650339335,160,-0.354270965,-0.476150244,-0.394626
1650339343,161,-0.353518039,-0.476588726,-0.393808
1650339351,162,-0.353175104,-0.477172732,-0.3930669
1650339353,163,-0.35267517,-0.477550805,-0.3922378
1650339358,164,-0.35219577,-0.478318125,-0.3913425
1650339363,165,-0.351608574,-0.479181111,-0.3902394
1650339364,166,-0.350923032,-0.479783624,-0.3892121
1650339381,167,-0.350125521,-0.480651319,-0.3881792
1650339386,168,-0.349223226,-0.481517762,-0.387039
1650339394,169,-0.3483302,-0.482313931,-0.3860266
1650339406,170,-0.347424001,-0.482841015,-0.3847073
1650339411,171,-0.346467644,-0.483315587,-0.38317
1650339426,172,-0.345456302,-0.483853072,-0.3814543
1650339434,173,-0.344412178,-0.484514087,-0.3796012
1650339437,174,-0.343723774,-0.485166639,-0.3777904
1650339439,175,-0.343019217,-0.486069083,-0.376023
1650339443,176,-0.342284769,-0.487048954,-0.3742994
1650339446,177,-0.341434985,-0.487618715,-0.3725388
1650339449,178,-0.340561569,-0.488103628,-0.3710203
1650339451,179,-0.339651555,-0.488675952,-0.3694807
1650339459,180,-0.339107454,-0.489503205,-0.3682001
1650339463,181,-0.338828355,-0.489965856,-0.3667242
1650339466,182,-0.338316798,-0.49104315,-0.3652546
1650339469,183,-0.337929308,-0.491920412,-0.363748
1650339478,184,-0.337726355,-0.492688268,-0.3621888
1650339482,185,-0.337695003,-0.493391484,-0.360534
1650339494,186,-0.337547988,-0.494000643,-0.3587689
1650339502,187,-0.337365061,-0.49469161,-0.3571261
1650339504,188,-0.337183297,-0.495853126,-0.355509
1650339509,189,-0.337213367,-0.497096777,-0.3540376
1650339512,190,-0.337233335,-0.498213798,-0.3524762
1650339517,191,-0.337081343,-0.498883754,-0.3508768
1650339518,192,-0.336806267,-0.499838948,-0.3492852
1650339525,193,-0.336485296,-0.50080812,-0.3477714
1650339534,194,-0.336021394,-0.502312481,-0.346118
1650339542,195,-0.33544594,-0.503479064,-0.344314
1650339547,196,-0.334723622,-0.504324257,-0.3425166
1650339551,197,-0.334244549,-0.505002975,-0.3407473
1650339557,198,-0.334048152,-0.505672216,-0.338917
