Wall time,Step,k=2
1650340347,1,0
1650340347,2,0
1650340347,3,0
1650340347,4,0
1650340348,5,0
1650340348,6,0
1650340348,7,0
1650340348,8,-0.446153879
1650340348,9,-0.450283766
1650340348,10,-0.449578851
1650340349,11,-0.447755635
1650340350,12,-0.446105212
1650340350,13,-0.445308834
1650340350,14,-0.444099814
1650340351,15,-0.442799389
1650340352,16,-0.441267341
1650340352,17,-0.439628094
1650340353,18,-0.437820733
1650340354,19,-0.435950547
1650340355,20,-0.433857411
1650340355,21,-0.431476682
1650340356,22,-0.429023743
1650340357,23,-0.426407605
1650340358,24,-0.423781753
1650340358,25,-0.42220667
1650340358,26,-0.4208197
1650340359,27,-0.418399125
1650340359,28,-0.415921777
1650340360,29,-0.413437188
1650340360,30,-0.411295444
1650340360,31,-0.409627408
1650340361,32,-0.407620698
1650340362,33,-0.405373454
1650340362,34,-0.402964056
1650340363,35,-0.400560737
1650340364,36,-0.398095936
1650340364,37,-0.395627707
1650340365,38,-0.394462645
1650340365,39,-0.393543392
1650340366,40,-0.393260896
1650340366,41,-0.393618703
1650340367,42,-0.394246399
1650340368,43,-0.394283861
1650340369,44,-0.393818974
1650340369,45,-0.394119173
1650340370,46,-0.394538671
1650340370,47,-0.394620389
1650340371,48,-0.395550281
1650340372,49,-0.396982849
1650340372,50,-0.398165673
1650340372,51,-0.399503618
1650340373,52,-0.4016909
1650340374,53,-0.403636634
1650340375,54,-0.405776381
1650340375,55,-0.407844454
1650340377,56,-0.40959841
1650340377,57,-0.411552489
1650340378,58,-0.413309902
1650340379,59,-0.415280491
1650340380,60,-0.417240798
1650340381,61,-0.419403166
1650340381,62,-0.421706349
1650340382,63,-0.423878372
1650340382,64,-0.42571646
1650340383,65,-0.427718878
1650340384,66,-0.429583073
1650340384,67,-0.431446344
1650340386,68,-0.432825923
1650340388,69,-0.433786541
1650340389,70,-0.434663832
1650340389,71,-0.435338408
1650340390,72,-0.436220586
1650340390,73,-0.437127978
1650340391,74,-0.437995523
1650340391,75,-0.438598126
1650340392,76,-0.439292133
1650340393,77,-0.439937294
1650340393,78,-0.440504879
