Wall time,Step,k=2; decay
1650341525,1,0
1650341525,2,0
1650341525,3,0
1650341525,4,0
1650341525,5,0
1650341525,6,0
1650341525,7,0
1650341525,8,-0.446153879
1650341525,9,-0.450283766
1650341525,10,-0.449578851
1650341526,11,-0.447755635
1650341527,12,-0.446105212
1650341527,13,-0.445308834
1650341527,14,-0.444099814
1650341528,15,-0.442799389
1650341529,16,-0.441267341
1650341529,17,-0.439628094
1650341530,18,-0.437820733
1650341531,19,-0.435950547
1650341532,20,-0.433857411
1650341533,21,-0.431476682
1650341533,22,-0.429023743
1650341534,23,-0.426407605
1650341535,24,-0.423781753
1650341535,25,-0.42220667
1650341535,26,-0.4208197
1650341536,27,-0.418399125
1650341536,28,-0.415921777
1650341537,29,-0.413437188
1650341537,30,-0.411295444
1650341538,31,-0.409627408
1650341538,32,-0.407620698
1650341539,33,-0.405373454
1650341539,34,-0.402964056
1650341540,35,-0.400560737
1650341541,36,-0.398095936
1650341541,37,-0.395627707
1650341542,38,-0.394462645
1650341543,39,-0.393543392
1650341543,40,-0.393260896
1650341544,41,-0.393618703
1650341544,42,-0.394246399
1650341545,43,-0.394283861
1650341546,44,-0.393818974
1650341546,45,-0.39345482
1650341547,46,-0.393178016
1650341548,47,-0.392569244
1650341549,48,-0.392446011
1650341549,49,-0.392287195
1650341550,50,-0.392605931
1650341550,51,-0.392913789
1650341551,52,-0.394266039
1650341552,53,-0.395351619
1650341552,54,-0.396237522
1650341553,55,-0.397098392
1650341554,56,-0.397590429
1650341555,57,-0.397931278
1650341556,58,-0.398566008
1650341556,59,-0.399570048
1650341556,60,-0.400857866
1650341557,61,-0.401841283
1650341558,62,-0.402707756
1650341559,63,-0.403688073
1650341559,64,-0.404716283
1650341560,65,-0.406133413
1650341560,66,-0.407535702
1650341560,67,-0.409349203
1650341563,68,-0.41035372
1650341565,69,-0.410863012
1650341566,70,-0.411177069
1650341566,71,-0.411794901
1650341568,72,-0.412771642
1650341569,73,-0.413501263
1650341570,74,-0.414349794
1650341570,75,-0.415051341
1650341571,76,-0.415627062
1650341572,77,-0.415994436
1650341572,78,-0.416353762
1650341573,79,-0.416664511
1650341573,80,-0.416857809
1650341575,81,-0.416999429
1650341575,82,-0.417120278
1650341576,83,-0.417042643
1650341576,84,-0.416794986
1650341577,85,-0.416787118
1650341577,86,-0.41708228
1650341578,87,-0.417320609
1650341578,88,-0.417565972
1650341580,89,-0.417598546
1650341580,90,-0.417527854
1650341580,91,-0.417583793
1650341581,92,-0.417532235
1650341581,93,-0.417672843
1650341581,94,-0.417567641
1650341582,95,-0.417488873
1650341583,96,-0.417450458
1650341583,97,-0.417378336
1650341583,98,-0.417462736
1650341585,99,-0.417209744
1650341585,100,-0.416846037
1650341586,101,-0.416595131
